x_map,y_map,v_target,kappa,s
0.7146,-9.2797,6.5000,0.0001,13.3881
0.7146,-9.3885,6.5000,0.0000,13.4969
0.7146,-9.4974,6.5000,0.0000,13.6058
0.7146,-9.6062,6.5000,0.0000,13.7146
0.7146,-9.7151,6.5000,0.0000,13.8234
0.7146,-9.8239,6.4533,0.0000,13.9323
0.7146,-9.9328,6.3804,0.0000,14.0411
0.7145,-10.0416,6.3066,0.0000,14.1500
0.7145,-10.1504,6.2320,0.0000,14.2588
0.7145,-10.2593,6.1564,0.0000,14.3677
0.7145,-10.3681,6.0799,0.0000,14.4765
0.7145,-10.4770,6.0024,0.0000,14.5854
0.7145,-10.5858,5.9239,0.0000,14.6942
0.7145,-10.6947,5.8444,0.0000,14.8031
0.7145,-10.8035,5.7638,0.0003,14.9119
0.7145,-10.9124,5.6819,0.0003,15.0208
0.7145,-11.0212,5.5990,0.0003,15.1296
0.7145,-11.1301,5.5147,0.0003,15.2384
0.7145,-11.2389,5.4292,0.0000,15.3473
0.7145,-11.3478,5.3423,0.0000,15.4561
0.7145,-11.4566,5.2540,0.0000,15.5650
0.7145,-11.5654,5.1642,0.0000,15.6738
0.7145,-11.6743,5.0727,0.0000,15.7827
0.7145,-11.7831,4.9796,0.0000,15.8915
0.7145,-11.8920,4.8847,0.0000,16.0004
0.7144,-12.0008,4.7879,0.0000,16.1092
0.7144,-12.1097,4.6891,0.0000,16.2181
0.7144,-12.2185,4.5882,0.0000,16.3269
0.7144,-12.3274,4.4850,0.0000,16.4358
0.7144,-12.4362,4.3795,0.0000,16.5446
0.7144,-12.5451,4.2712,0.0000,16.6534
0.7144,-12.6539,4.1602,0.0001,16.7623
0.7144,-12.7628,4.0461,0.0004,16.8711
0.7144,-12.8716,3.9288,0.0005,16.9800
0.7144,-12.9804,3.8078,0.0006,17.0888
0.7144,-13.0893,3.6828,0.0014,17.1977
0.7143,-13.1981,3.5535,0.0026,17.3065
0.7143,-13.3070,3.4193,0.0049,17.4154
0.7142,-13.4157,3.2797,0.0054,17.5242
0.7140,-13.5246,3.1337,0.0026,17.6331
0.7138,-13.6334,2.9808,0.0046,17.7419
0.7136,-13.7423,2.8202,0.0142,17.8508
0.7136,-13.8513,2.6519,0.0270,17.9596
0.7139,-13.9605,2.4798,0.0412,18.0684
0.7148,-14.0698,2.3218,0.0583,18.1773
0.7163,-14.1792,2.2610,0.1054,18.2861
0.7191,-14.2894,2.2312,0.2005,18.3950
0.7243,-14.4004,2.2007,0.3007,18.5038
0.7332,-14.5119,2.1695,0.4011,18.6127
0.7471,-14.6239,2.1377,0.5054,18.7215
0.7674,-14.7357,2.1051,0.6186,18.8304
0.7954,-14.8470,2.0717,0.7436,18.9392
0.8326,-14.9569,2.0373,0.9259,19.0481
0.8815,-15.0640,2.0019,1.1341,19.1569
0.9439,-15.1656,1.9653,1.2671,19.2658
1.0205,-15.2585,1.9277,1.4395,19.3746
1.1116,-15.3392,1.8889,1.5908,19.4834
1.2169,-15.4040,1.8630,1.8625,19.5923
1.3340,-15.4467,1.8623,1.8248,19.7011
1.4559,-15.4654,1.8859,1.5837,19.8100
1.5776,-15.4629,1.9131,1.4325,19.9188
1.6961,-15.4419,1.9396,1.2766,20.0277
1.8095,-15.4049,1.9655,1.1411,20.1365
1.9164,-15.3546,1.9909,1.0306,20.2454
2.0161,-15.2934,2.0156,0.8397,20.3542
2.1087,-15.2241,2.0398,0.7326,20.4631
2.1948,-15.1481,2.0636,0.6325,20.5719
2.2747,-15.0670,2.0869,0.5367,20.6807
2.3495,-14.9821,2.1097,0.4476,20.7896
2.4194,-14.8941,2.1322,0.3642,20.8984
2.4854,-14.8041,2.1543,0.2893,21.0073
2.5482,-14.7124,2.1761,0.2252,21.1161
2.6085,-14.6198,2.1975,0.1711,21.2250
2.6668,-14.5263,2.2187,0.1257,21.3338
2.7235,-14.4324,2.2396,0.0888,21.4427
2.7794,-14.3381,2.3035,0.0585,21.5515
2.8344,-14.2438,2.4157,0.0323,21.6604
2.8890,-14.1494,2.5413,0.0058,21.7692
2.9433,-14.0552,2.6663,0.0200,21.8781
2.9979,-13.9613,2.7844,0.0466,21.9869
3.0527,-13.8679,2.8912,0.0698,22.0957
3.1083,-13.7751,2.9830,0.0900,22.2046
3.1645,-13.6829,3.0574,0.1046,22.3134
3.2218,-13.5915,3.1119,0.1166,22.4223
3.2802,-13.5009,3.1398,0.1238,22.5311
3.3398,-13.4111,3.1543,0.1286,22.6400
3.4006,-13.3222,3.1687,0.1309,22.7488
3.4627,-13.2342,3.1831,0.1323,22.8577
3.5261,-13.1471,3.1975,0.1324,22.9665
3.5907,-13.0609,3.2117,0.1327,23.0754
3.6565,-12.9757,3.2029,0.1331,23.1842
3.7235,-12.8914,3.1824,0.1339,23.2931
3.7917,-12.8081,3.1618,0.1315,23.4019
3.8612,-12.7258,3.1410,0.1324,23.5107
3.9319,-12.6446,3.0403,0.1111,23.6196
4.0039,-12.5637,2.8936,0.0357,23.7284
4.0766,-12.4825,2.7289,0.0701,23.8373
4.1495,-12.4002,2.6193,0.1758,23.9461
4.2211,-12.3158,2.5935,0.2762,24.0550
4.2909,-12.2286,2.5671,0.3729,24.1638
4.3575,-12.1379,2.5403,0.4683,24.2727
4.4199,-12.0433,2.5131,0.5635,24.3815
4.4767,-11.9444,2.4853,0.6575,24.4904
4.5267,-11.8409,2.4570,0.7485,24.5992
4.5684,-11.7330,2.4282,0.8325,24.7081
4.6003,-11.6210,2.3989,0.9395,24.8169
4.6208,-11.5054,2.3689,1.0040,24.9257
4.6286,-11.3884,2.3557,0.9606,25.0346
4.6242,-11.2715,2.3766,0.9341,25.1434
4.6079,-11.1561,2.3974,0.8577,25.2523
4.5780,-11.0444,2.4177,0.7496,25.3611
4.5395,-10.9366,2.4377,0.6443,25.4700
4.4938,-10.8326,2.4574,0.5494,25.5788
4.4425,-10.7324,2.4768,0.4627,25.6877
4.3864,-10.6356,2.4959,0.3835,25.7965
4.3267,-10.5418,2.5147,0.3121,25.9054
4.2642,-10.4504,2.5333,0.2503,26.0142
4.1994,-10.3612,2.5517,0.1986,26.1231
4.1329,-10.2737,2.5699,0.1544,26.2319
4.0652,-10.1875,2.5880,0.1173,26.3407
3.9964,-10.1024,2.6058,0.0855,26.4496
3.9270,-10.0181,2.6923,0.0580,26.5584
3.8571,-9.9343,2.8085,0.0304,26.6673
3.7871,-9.8510,2.9205,0.0070,26.7761
3.7171,-9.7676,3.0153,0.0555,26.8850
3.6505,-9.6818,3.0759,0.0997,26.9938
3.5848,-9.5955,3.0908,0.1354,27.1027
3.5205,-9.5083,3.1057,0.1641,27.2115
3.4578,-9.4201,3.1204,0.1871,27.3204
3.3970,-9.3306,3.1351,0.2057,27.4292
3.3382,-9.2398,3.1497,0.2227,27.5380
3.2816,-9.1477,3.1642,0.2378,27.6469
3.2275,-9.0542,3.1787,0.2511,27.7557
3.1760,-8.9593,3.1931,0.2615,27.8646
3.1272,-8.8629,3.2074,0.2697,27.9734
3.0812,-8.7652,3.2216,0.2741,28.0823
3.0382,-8.6663,3.2358,0.2765,28.1911
2.9982,-8.5660,3.2499,0.2751,28.3000
2.9612,-8.4646,3.2640,0.2617,28.4088
2.9271,-8.3621,3.2780,0.2330,28.5177
2.8956,-8.2587,3.2920,0.2067,28.6265
2.8664,-8.1545,3.3059,0.1903,28.7354
2.8393,-8.0497,3.3197,0.1767,28.8442
2.8142,-7.9443,3.3336,0.1657,28.9530
2.7912,-7.8384,3.3473,0.1570,29.0619
2.7698,-7.7322,3.3610,0.1479,29.1707
2.7501,-7.6257,3.3747,0.1383,29.2796
2.7321,-7.5188,3.3883,0.1285,29.3884
2.7156,-7.4116,3.4018,0.1201,29.4973
2.7004,-7.3042,3.4153,0.1111,29.6061
2.6866,-7.1966,3.4288,0.1034,29.7150
2.6739,-7.0889,3.4661,0.0948,29.8238
2.6624,-6.9809,3.5159,0.0881,29.9327
2.6519,-6.8728,3.5730,0.0813,30.0415
2.6424,-6.7647,3.6349,0.0747,30.1504
2.6337,-6.6564,3.7002,0.0691,30.2592
2.6258,-6.5480,3.7681,0.0645,30.3680
2.6187,-6.4396,3.8377,0.0606,30.4769
2.6124,-6.3311,3.9084,0.0569,30.5857
2.6067,-6.2226,3.9794,0.0538,30.6946
2.6017,-6.1141,4.0503,0.0514,30.8034
2.5972,-6.0055,4.1212,0.0488,30.9123
2.5933,-5.8969,4.1919,0.0468,31.0211
2.5900,-5.7883,4.2622,0.0452,31.1300
2.5872,-5.6796,4.3317,0.0436,31.2388
2.5849,-5.5709,4.4002,0.0429,31.3477
2.5831,-5.4622,4.4681,0.0427,31.4565
2.5818,-5.3535,4.5352,0.0421,31.5654
2.5811,-5.2448,4.6012,0.0420,31.6742
2.5808,-5.1361,4.5617,0.0430,31.7830
2.5810,-5.0273,4.4663,0.0440,31.8919
2.5818,-4.9187,4.3699,0.0450,32.0007
2.5831,-4.8100,4.2728,0.0480,32.1096
2.5849,-4.7013,4.1762,0.0571,32.2184
2.5875,-4.5927,4.0811,0.0698,32.3273
2.5908,-4.4841,3.9878,0.0786,32.4361
2.5951,-4.3757,3.8983,0.0846,32.5450
2.6004,-4.2673,3.8149,0.0890,32.6538
2.6067,-4.1589,3.7418,0.0926,32.7627
2.6141,-4.0506,3.6890,0.1000,32.8715
2.6227,-3.9425,3.6711,0.1217,32.9804
2.6327,-3.8345,3.6531,0.1475,33.0892
2.6445,-3.7268,3.6350,0.1700,33.1980
2.6582,-3.6195,3.6169,0.1873,33.3069
2.6741,-3.5124,3.5986,0.1999,33.4157
2.6923,-3.4058,3.5803,0.2106,33.5246
2.7130,-3.2997,3.5619,0.2190,33.6334
2.7362,-3.1941,3.5434,0.2263,33.7423
2.7619,-3.0891,3.5248,0.2286,33.8511
2.7904,-2.9847,3.5061,0.2237,33.9600
2.8212,-2.8811,3.4873,0.2222,34.0688
2.8546,-2.7783,3.4684,0.2239,34.1777
2.8906,-2.6763,3.4494,0.2268,34.2865
2.9289,-2.5753,3.4303,0.2317,34.3954
2.9698,-2.4752,3.4110,0.2335,34.5042
3.0133,-2.3763,3.3917,0.2168,34.6130
3.0591,-2.2783,3.3723,0.1953,34.7219
3.1071,-2.1812,3.3527,0.1788,34.8307
3.1569,-2.0851,3.3330,0.1678,34.9396
3.2085,-1.9898,3.3132,0.1623,35.0484
3.2646,-1.8972,3.2932,0.1587,35.1573
3.3224,-1.8055,3.2731,0.1576,35.2661
3.3815,-1.7150,3.2530,0.1568,35.3750
3.4424,-1.6255,3.2327,0.1554,35.4838
3.5046,-1.5371,3.2123,0.1542,35.5927
3.5683,-1.4497,3.1918,0.1536,35.7015
3.6334,-1.3635,3.1711,0.1534,35.8103
3.6999,-1.2785,3.1504,0.1540,35.9192
3.7678,-1.1946,3.1295,0.1531,36.0280
3.8371,-1.1118,3.1084,0.1463,36.1369
3.9077,-1.0301,3.0209,0.1134,36.2457
3.9795,-0.9491,2.8705,0.0308,36.3546
4.0521,-0.8676,2.7167,0.0764,36.4634
4.1246,-0.7850,2.6920,0.1808,36.5723
4.1960,-0.7001,2.6668,0.2802,36.6811
4.2626,-0.6105,2.6412,0.3760,36.7900
4.3260,-0.5175,2.6152,0.4706,36.8988
4.3850,-0.4207,2.5887,0.5634,37.0077
4.4382,-0.3198,2.5618,0.6536,37.1165
4.4845,-0.2148,2.5344,0.7393,37.2253
4.5224,-0.1055,2.5065,0.8163,37.3342
4.5506,0.0074,2.4781,0.9168,37.4430
4.5676,0.1231,2.4495,0.9623,37.5519
4.5723,0.2400,2.4570,0.9222,37.6607
4.5653,0.3564,2.4771,0.8852,37.7696
4.5474,0.4710,2.4969,0.8031,37.8784
4.5197,0.5830,2.5164,0.6942,37.9873
4.4838,0.6916,2.5356,0.5918,38.0961
4.4413,0.7969,2.5545,0.5024,38.2050
4.3934,0.8992,2.5732,0.4233,38.3138
4.3413,0.9985,2.5917,0.3545,38.4227
4.2856,1.0952,2.6099,0.2960,38.5315
4.2270,1.1897,2.6279,0.2489,38.6403
4.1661,1.2824,2.6457,0.2115,38.7492
4.1032,1.3734,2.6634,0.1820,38.8580
4.0387,1.4628,2.6809,0.1573,38.9669
3.9728,1.5511,2.6983,0.1355,39.0757
3.9057,1.6381,2.7155,0.1157,39.1846
3.8376,1.7243,2.7326,0.0979,39.2934
3.7687,1.8095,2.7896,0.0808,39.4023
3.6991,1.8940,2.8695,0.0659,39.5111
3.6291,1.9779,2.9619,0.0499,39.6200
3.5586,2.0614,3.0609,0.0328,39.7288
3.4879,2.1445,3.1624,0.0143,39.8377
3.4173,2.2273,3.2634,0.0059,39.9465
3.3468,2.3101,3.3617,0.0260,40.0553
3.2767,2.3929,3.4539,0.0461,40.1642
3.2070,2.4759,3.3282,0.0664,40.2730
3.1381,2.5593,3.2115,0.0851,40.3819
3.0700,2.6432,3.1102,0.1046,40.4907
3.0030,2.7278,3.0359,0.1194,40.5996
2.9373,2.8131,3.0143,0.1303,40.7084
2.8727,2.8993,2.9925,0.1402,40.8173
2.8095,2.9864,2.9705,0.1464,40.9261
2.7478,3.0744,2.9484,0.1420,41.0350
2.6873,3.1635,2.9262,0.1296,41.1438
2.6281,3.2535,2.9037,0.1108,41.2527
2.5699,3.3445,2.8159,0.0880,41.3615
2.5123,3.4362,2.6785,0.0519,41.4703
2.4551,3.5285,2.5028,0.0061,41.5792
2.3977,3.6213,2.3145,0.0478,41.6880
2.3396,3.7142,2.2025,0.1403,41.7969
2.2795,3.8070,2.1717,0.2531,41.9057
2.2163,3.8989,2.1403,0.3641,42.0146
2.1490,3.9890,2.1081,0.4783,42.1234
2.0764,4.0763,2.0751,0.6030,42.2323
1.9975,4.1594,2.0412,0.7409,42.3411
1.9111,4.2368,2.0063,0.8960,42.4500
1.8160,4.3064,1.9703,1.1930,42.5588
1.7112,4.3642,1.9330,1.3265,42.6676
1.5979,4.4066,1.8946,1.4932,42.7765
1.4780,4.4304,1.8549,1.6548,42.8853
1.3540,4.4325,1.8508,1.9133,42.9942
1.2310,4.4086,1.8793,1.9485,43.1030
1.1165,4.3599,1.9072,1.6842,43.2119
1.0145,4.2922,1.9342,1.5338,43.3207
0.9301,4.2136,1.9594,1.3679,43.4296
