x_map,y_map,v_target,kappa,s
0.6144,-8.9527,5.5316,-0.0007,13.0447
0.6138,-9.0615,5.4881,-0.0006,13.1535
0.6131,-9.1703,5.4443,-0.0004,13.2624
0.6125,-9.2792,5.4002,-0.0003,13.3712
0.6118,-9.3880,5.3556,-0.0001,13.4801
0.6112,-9.4969,5.3107,-0.0003,13.5889
0.6105,-9.6057,5.2655,-0.0005,13.6978
0.6099,-9.7146,5.2198,-0.0000,13.8066
0.6092,-9.8234,5.1737,0.0004,13.9155
0.6086,-9.9323,5.1272,0.0005,14.0243
0.6079,-10.0411,5.0803,0.0005,14.1331
0.6072,-10.1499,5.0329,0.0006,14.2420
0.6066,-10.2589,4.9851,0.0011,14.3508
0.6060,-10.3677,4.9369,0.0016,14.4597
0.6054,-10.4766,4.8881,0.0015,14.5686
0.6048,-10.5854,4.8389,0.0014,14.6775
0.6042,-10.6943,4.7891,0.0017,14.7863
0.6037,-10.8031,4.7389,0.0021,14.8952
0.6032,-10.9120,4.6880,0.0024,15.0040
0.6026,-11.0208,4.6367,0.0028,15.1129
0.6022,-11.1298,4.5847,0.0033,15.2217
0.6017,-11.2386,4.5322,0.0038,15.3306
0.6014,-11.3475,4.4791,0.0044,15.4394
0.6010,-11.4563,4.4253,0.0048,15.5482
0.6007,-11.5652,4.3709,0.0052,15.6571
0.6005,-11.6742,4.3157,0.0064,15.7659
0.6004,-11.7830,4.2599,0.0078,15.8747
0.6003,-11.8920,4.2033,0.0090,15.9835
0.6003,-12.0008,4.1459,0.0104,16.0925
0.6004,-12.1098,4.0877,0.0121,16.2013
0.6007,-12.2188,4.0287,0.0146,16.3102
0.6012,-12.3278,3.9688,0.0175,16.4190
0.6018,-12.4368,3.9081,0.0204,16.5279
0.6027,-12.5458,3.8463,0.0239,16.6367
0.6038,-12.6548,3.7835,0.0284,16.7456
0.6052,-12.7640,3.7197,0.0339,16.8544
0.6070,-12.8731,3.6547,0.0408,16.9632
0.6093,-12.9823,3.5886,0.0484,17.0721
0.6068,-13.0918,3.5212,0.0570,17.1810
0.6048,-13.2013,3.4525,0.0674,17.2900
0.6038,-13.3112,3.3824,0.0801,17.3988
0.6037,-13.4209,3.3108,0.0956,17.5079
0.6046,-13.5312,3.2375,0.1137,17.6169
0.6067,-13.6417,3.1626,0.1330,17.7262
0.6103,-13.7529,3.0856,0.1542,17.8357
0.6161,-13.8645,3.0065,0.1801,17.9455
0.6240,-13.9768,2.9251,0.2142,18.0555
0.6345,-14.0894,2.8412,0.2578,18.1656
0.6479,-14.2025,2.7546,0.3105,18.2761
0.6647,-14.3166,2.6649,0.3716,18.3864
0.6862,-14.4312,2.5722,0.4417,18.4958
0.7133,-14.5457,2.4768,0.5264,18.6041
0.7473,-14.6587,2.3788,0.6314,18.7102
0.7931,-14.7666,2.2785,0.7518,18.8139
0.8462,-14.8698,2.1760,0.8802,18.9134
0.9065,-14.9666,2.0730,1.0147,19.0074
0.9743,-15.0543,1.9707,1.1708,19.0958
1.0481,-15.1308,1.8695,1.3639,19.1778
1.1257,-15.1945,1.7703,1.5317,19.2536
1.2050,-15.2457,1.7209,1.6208,19.3227
1.2857,-15.2851,1.7029,1.6552,19.3882
1.3689,-15.3122,1.7032,1.6547,19.4566
1.4551,-15.3285,1.7211,1.6204,19.5307
1.5465,-15.3354,1.7695,1.5329,19.6101
1.6432,-15.3322,1.8687,1.3745,19.6949
1.7445,-15.3174,1.9943,1.2069,19.7846
1.8476,-15.2908,2.1119,1.0762,19.8794
1.9509,-15.2526,2.2362,0.9599,19.9781
2.0525,-15.2041,2.3649,0.8467,20.0799
2.1513,-15.1464,2.4907,0.7375,20.1844
2.2464,-15.0810,2.6135,0.6366,20.2908
2.3377,-15.0092,2.7329,0.5486,20.3985
2.4247,-14.9319,2.8487,0.4704,20.5072
2.5038,-14.8472,2.9610,0.4003,20.6167
2.5789,-14.7595,3.0699,0.3374,20.7264
2.6503,-14.6699,3.1753,0.2808,20.8363
2.7187,-14.5789,3.2775,0.2312,20.9461
2.7842,-14.4868,3.3765,0.1872,21.0561
2.8475,-14.3941,3.4729,0.1469,21.1656
2.9089,-14.3011,3.5662,0.1096,21.2751
2.9689,-14.2080,3.6572,0.0767,21.3843
3.0275,-14.1149,3.7457,0.0492,21.4933
3.0855,-14.0221,3.8320,0.0245,21.6018
3.1429,-13.9300,3.9160,0.0028,21.7102
3.2004,-13.8382,3.9982,-0.0137,21.8182
3.2577,-13.7466,4.0784,-0.0250,21.9259
3.3152,-13.6559,4.1464,-0.0322,22.0334
3.3729,-13.5655,4.0890,-0.0360,22.1407
