x_map,y_map,v_target,kappa,s
0.7147,-6.3408,3.0000,0.0000,10.4492
0.7147,-6.4497,3.0000,0.0000,10.5581
0.7147,-6.5585,3.0000,0.0000,10.6669
0.7147,-6.6674,3.0000,0.0001,10.7758
0.7147,-6.7762,3.0000,0.0003,10.8846
0.7147,-6.8851,3.0000,0.0002,10.9935
0.7147,-6.9939,3.0000,0.0001,11.1023
0.7147,-7.1028,3.0000,0.0004,11.2111
0.7147,-7.2116,3.0000,0.0000,11.3200
0.7147,-7.3204,3.0000,0.0000,11.4288
0.7147,-7.4293,3.0000,0.0000,11.5377
0.7147,-7.5381,3.0000,0.0000,11.6465
0.7147,-7.6470,3.0000,0.0000,11.7554
0.7147,-7.7558,3.0000,0.0000,11.8642
0.7147,-7.8647,3.0000,0.0000,11.9731
0.7146,-7.9735,3.0000,0.0000,12.0819
0.7146,-8.0824,3.0000,0.0000,12.1908
0.7146,-8.1912,3.0000,0.0000,12.2996
0.7146,-8.3001,3.0000,0.0000,12.4084
0.7146,-8.4089,3.0000,0.0000,12.5173
0.7146,-8.5178,3.0000,0.0000,12.6261
0.7146,-8.6266,3.0000,0.0000,12.7350
0.7146,-8.7354,3.0000,0.0005,12.8438
0.7146,-8.8443,3.0000,0.0000,12.9527
0.7146,-8.9531,3.0000,0.0000,13.0615
0.7146,-9.0620,3.0000,0.0000,13.1704
0.7146,-9.1708,3.0000,0.0005,13.2792
0.7146,-9.2797,3.0000,0.0001,13.3881
0.7146,-9.3885,3.0000,0.0000,13.4969
0.7146,-9.4974,3.0000,0.0000,13.6058
0.7146,-9.6062,3.0000,0.0000,13.7146
0.7146,-9.7151,3.0000,0.0000,13.8234
0.7146,-9.8239,3.0000,0.0000,13.9323
0.7146,-9.9328,3.0000,0.0000,14.0411
0.7145,-10.0416,3.0000,0.0000,14.1500
0.7145,-10.1504,3.0000,0.0000,14.2588
0.7145,-10.2593,3.0000,0.0000,14.3677
0.7145,-10.3681,3.0000,0.0000,14.4765
0.7145,-10.4770,3.0000,0.0000,14.5854
0.7145,-10.5858,3.0000,0.0000,14.6942
0.7145,-10.6947,3.0000,0.0000,14.8031
0.7145,-10.8035,3.0000,0.0003,14.9119
0.7145,-10.9124,3.0000,0.0003,15.0208
0.7145,-11.0212,3.0000,0.0003,15.1296
0.7145,-11.1301,3.0000,0.0003,15.2384
0.7145,-11.2389,3.0000,0.0000,15.3473
0.7145,-11.3478,3.0000,0.0000,15.4561
0.7145,-11.4566,3.0000,0.0000,15.5650
0.7145,-11.5654,3.0000,0.0000,15.6738
0.7145,-11.6743,3.0000,0.0000,15.7827
0.7145,-11.7831,3.0000,0.0000,15.8915
0.7145,-11.8920,3.0000,0.0000,16.0004
0.7144,-12.0008,3.0000,0.0000,16.1092
0.7144,-12.1097,3.0000,0.0000,16.2181
0.7144,-12.2185,3.0000,0.0000,16.3269
0.7144,-12.3274,3.0000,0.0000,16.4358
0.7144,-12.4362,3.0000,0.0000,16.5446
0.7144,-12.5451,3.0000,0.0000,16.6534
0.7144,-12.6539,3.0000,0.0001,16.7623
0.7144,-12.7628,3.0000,0.0004,16.8711
0.7144,-12.8716,2.9632,0.0005,16.9800
0.7144,-12.9804,2.9076,0.0006,17.0888
0.7144,-13.0893,2.8509,0.0014,17.1977
0.7143,-13.1981,2.7931,0.0026,17.3065
0.7143,-13.3070,2.7340,0.0049,17.4154
0.7142,-13.4157,2.6736,0.0054,17.5242
0.7140,-13.5246,2.6118,0.0026,17.6331
0.7138,-13.6334,2.5485,0.0046,17.7419
0.7136,-13.7423,2.4836,0.0142,17.8508
0.7136,-13.8513,2.4170,0.0270,17.9596
0.7139,-13.9605,2.3485,0.0412,18.0684
0.7148,-14.0698,2.2779,0.0583,18.1773
0.7163,-14.1792,2.2051,0.1054,18.2861
0.7191,-14.2894,2.1297,0.2005,18.3950
0.7243,-14.4004,2.0516,0.3007,18.5038
0.7332,-14.5119,1.9705,0.4011,18.6127
0.7471,-14.6239,1.8858,0.5054,18.7215
0.7674,-14.7357,1.7971,0.6186,18.8304
0.7954,-14.8470,1.7038,0.7436,18.9392
0.8326,-14.9569,1.6052,0.9259,19.0481
0.8815,-15.0640,1.5000,1.1341,19.1569
0.9439,-15.1656,1.5000,1.2671,19.2658
1.0205,-15.2585,1.5000,1.4395,19.3746
1.1116,-15.3392,1.5000,1.5908,19.4834
1.2169,-15.4040,1.5000,1.8625,19.5923
1.3340,-15.4467,1.5000,1.8248,19.7011
1.4559,-15.4654,1.5000,1.5837,19.8100
1.5776,-15.4629,1.5000,1.4325,19.9188
1.6961,-15.4419,1.5000,1.2766,20.0277
1.8095,-15.4049,1.5000,1.1411,20.1365
1.9164,-15.3546,1.5575,1.0306,20.2454
2.0161,-15.2934,1.6590,0.8397,20.3542
2.1087,-15.2241,1.7546,0.7326,20.4631
2.1948,-15.1481,1.8453,0.6325,20.5719
2.2747,-15.0670,1.9318,0.5367,20.6807
2.3495,-14.9821,2.0145,0.4476,20.7896
2.4194,-14.8941,2.0940,0.3642,20.8984
2.4854,-14.8041,2.1706,0.2893,21.0073
2.5482,-14.7124,2.2445,0.2252,21.1161
2.6085,-14.6198,2.3161,0.1711,21.2250
2.6668,-14.5263,2.3856,0.1257,21.3338
2.7235,-14.4324,2.4531,0.0888,21.4427
2.7794,-14.3381,2.5188,0.0585,21.5515
2.8344,-14.2438,2.5828,0.0323,21.6604
2.8890,-14.1494,2.6452,0.0058,21.7692
2.9433,-14.0552,2.7062,0.0200,21.8781
2.9979,-13.9613,2.7659,0.0466,21.9869
3.0527,-13.8679,2.8243,0.0698,22.0957
3.1083,-13.7751,2.8816,0.0900,22.2046
3.1645,-13.6829,2.9377,0.1046,22.3134
3.2218,-13.5915,2.9927,0.1166,22.4223
3.2802,-13.5009,3.0000,0.1238,22.5311
3.3398,-13.4111,3.0000,0.1286,22.6400
3.4006,-13.3222,2.9774,0.1309,22.7488
3.4627,-13.2342,2.9221,0.1323,22.8577
3.5261,-13.1471,2.8657,0.1324,22.9665
3.5907,-13.0609,2.8081,0.1327,23.0754
3.6565,-12.9757,2.7494,0.1331,23.1842
3.7235,-12.8914,2.6893,0.1339,23.2931
3.7917,-12.8081,2.6279,0.1315,23.4019
3.8612,-12.7258,2.5650,0.1324,23.5107
3.9319,-12.6446,2.5006,0.1111,23.6196
4.0039,-12.5637,2.4344,0.0357,23.7284
4.0766,-12.4825,2.3664,0.0701,23.8373
4.1495,-12.4002,2.2963,0.1758,23.9461
4.2211,-12.3158,2.2241,0.2762,24.0550
4.2909,-12.2286,2.1494,0.3729,24.1638
4.3575,-12.1379,2.0721,0.4683,24.2727
4.4199,-12.0433,1.9917,0.5635,24.3815
4.4767,-11.9444,1.9080,0.6575,24.4904
4.5267,-11.8409,1.8204,0.7485,24.5992
4.5684,-11.7330,1.7284,0.8325,24.7081
4.6003,-11.6210,1.6312,0.9395,24.8169
4.6208,-11.5054,1.5780,1.0040,24.9257
4.6286,-11.3884,1.6132,0.9606,25.0346
4.6242,-11.2715,1.6360,0.9341,25.1434
4.6079,-11.1561,1.7073,0.8577,25.2523
4.5812,-11.0435,1.8004,0.7496,25.3611
4.5458,-10.9343,1.8889,0.6443,25.4700
4.5029,-10.8286,1.9734,0.5494,25.5788
4.4543,-10.7264,2.0545,0.4627,25.6877
4.4009,-10.6274,2.1325,0.3835,25.7965
4.3438,-10.5312,2.2077,0.3121,25.9054
4.2836,-10.4376,2.2805,0.2503,26.0142
4.2212,-10.3460,2.3510,0.1986,26.1231
4.1572,-10.2561,2.4194,0.1544,26.2319
4.0919,-10.1676,2.4860,0.1173,26.3407
4.0255,-10.0801,2.5508,0.0855,26.4496
3.9585,-9.9936,2.6141,0.0580,26.5584
3.8912,-9.9076,2.6758,0.0304,26.6673
3.8237,-9.8221,2.7361,0.0070,26.7761
3.7565,-9.7368,2.7952,0.0555,26.8850
3.6901,-9.6513,2.8530,0.0997,26.9938
3.6248,-9.5655,2.9096,0.1354,27.1027
3.5610,-9.4790,2.9652,0.1641,27.2115
3.4989,-9.3915,3.0000,0.1871,27.3204
3.4387,-9.3030,3.0000,0.2057,27.4292
3.3805,-9.2131,3.0000,0.2227,27.5380
3.3245,-9.1221,3.0000,0.2378,27.6469
3.2711,-9.0298,3.0000,0.2511,27.7557
3.2202,-8.9360,3.0000,0.2615,27.8646
3.1721,-8.8410,3.0000,0.2697,27.9734
3.1268,-8.7446,3.0000,0.2741,28.0823
3.0843,-8.6470,3.0000,0.2765,28.1911
3.0449,-8.5482,3.0000,0.2751,28.3000
3.0084,-8.4481,3.0000,0.2617,28.4088
2.9747,-8.3469,3.0000,0.2330,28.5177
2.9436,-8.2446,3.0000,0.2067,28.6265
2.9146,-8.1415,3.0000,0.1903,28.7354
2.8878,-8.0376,3.0000,0.1767,28.8442
2.8630,-7.9332,3.0000,0.1657,28.9530
2.8401,-7.8282,3.0000,0.1570,29.0619
2.8189,-7.7228,3.0000,0.1479,29.1707
2.7994,-7.6170,3.0000,0.1383,29.2796
2.7815,-7.5108,3.0000,0.1285,29.3884
2.7650,-7.4043,3.0000,0.1201,29.4973
2.7500,-7.2975,3.0000,0.1111,29.6061
2.7362,-7.1905,3.0000,0.1034,29.7150
2.7236,-7.0833,3.0000,0.0948,29.8238
2.7122,-6.9758,3.0000,0.0881,29.9327
2.7017,-6.8682,3.0000,0.0813,30.0415
2.6922,-6.7605,3.0000,0.0747,30.1504
2.6836,-6.6526,3.0000,0.0691,30.2592
2.6757,-6.5446,3.0000,0.0645,30.3680
2.6686,-6.4365,3.0000,0.0606,30.4769
2.6623,-6.3284,3.0000,0.0569,30.5857
2.6566,-6.2202,3.0000,0.0538,30.6946
2.6516,-6.1119,3.0000,0.0514,30.8034
2.6471,-6.0036,3.0000,0.0488,30.9123
2.6433,-5.8953,3.0000,0.0468,31.0211
2.6400,-5.7869,3.0000,0.0452,31.1300
2.6372,-5.6784,3.0000,0.0436,31.2388
2.6349,-5.5700,3.0000,0.0429,31.3477
2.6331,-5.4615,3.0000,0.0427,31.4565
2.6318,-5.3531,3.0000,0.0421,31.5654
2.6311,-5.2445,3.0000,0.0420,31.6742
2.6308,-5.1361,3.0000,0.0430,31.7830
2.6310,-5.0276,3.0000,0.0440,31.8919
2.6318,-4.9192,3.0000,0.0450,32.0007
2.6331,-4.8107,3.0000,0.0480,32.1096
2.6349,-4.7023,3.0000,0.0571,32.2184
2.6375,-4.5941,3.0000,0.0698,32.3273
2.6408,-4.4859,3.0000,0.0786,32.4361
2.6450,-4.3779,3.0000,0.0846,32.5450
2.6503,-4.2700,3.0000,0.0890,32.6538
2.6566,-4.1621,3.0000,0.0926,32.7627
2.6640,-4.0543,3.0000,0.1000,32.8715
2.6725,-3.9468,3.0000,0.1217,32.9804
2.6825,-3.8395,3.0000,0.1475,33.0892
2.6941,-3.7327,3.0000,0.1700,33.1980
2.7077,-3.6264,3.0000,0.1873,33.3069
2.7235,-3.5203,3.0000,0.1999,33.4157
2.7415,-3.4148,3.0000,0.2106,33.5246
2.7619,-3.3098,3.0000,0.2190,33.6334
2.7849,-3.2054,3.0000,0.2263,33.7423
2.8104,-3.1016,3.0000,0.2286,33.8511
2.8384,-2.9984,3.0000,0.2237,33.9600
2.8690,-2.8960,3.0000,0.2222,34.0688
2.9020,-2.7944,3.0000,0.2239,34.1777
2.9375,-2.6935,3.0000,0.2268,34.2865
2.9754,-2.5936,3.0000,0.2317,34.3954
3.0158,-2.4947,3.0000,0.2335,34.5042
3.0589,-2.3969,3.0000,0.2168,34.6130
3.1042,-2.3000,3.0000,0.1953,34.7219
3.1517,-2.2038,3.0000,0.1788,34.8307
3.2011,-2.1085,3.0000,0.1678,34.9396
3.2522,-2.0140,3.0000,0.1623,35.0484
3.3050,-1.9205,3.0000,0.1587,35.1573
3.3595,-1.8278,3.0000,0.1576,35.2661
3.4155,-1.7361,2.9885,0.1568,35.3750
3.4732,-1.6455,2.9333,0.1554,35.4838
3.5323,-1.5556,2.8771,0.1542,35.5927
3.5929,-1.4669,2.8198,0.1536,35.7015
3.6550,-1.3791,2.7613,0.1534,35.8103
3.7186,-1.2925,2.7015,0.1540,35.9192
3.7836,-1.2068,2.6404,0.1531,36.0280
3.8501,-1.1222,2.5778,0.1463,36.1369
3.9180,-1.0386,2.5137,0.1134,36.2457
3.9872,-0.9555,2.4479,0.0308,36.3546
4.0572,-0.8718,2.3803,0.0764,36.4634
4.1272,-0.7871,2.3106,0.1808,36.5723
4.1960,-0.7001,2.2389,0.2802,36.6811
4.2626,-0.6105,2.1647,0.3760,36.7900
4.3260,-0.5175,2.0879,0.4706,36.8988
4.3850,-0.4207,2.0082,0.5634,37.0077
4.4382,-0.3198,1.9252,0.6536,37.1165
4.4845,-0.2148,1.8384,0.7393,37.2253
4.5224,-0.1055,1.7474,0.8163,37.3342
4.5506,0.0074,1.6513,0.9168,37.4430
4.5676,0.1231,1.6118,0.9623,37.5519
4.5723,0.2400,1.6465,0.9222,37.6607
4.5653,0.3564,1.6805,0.8852,37.7696
4.5474,0.4710,1.7644,0.8031,37.8784
4.5197,0.5830,1.8546,0.6942,37.9873
4.4838,0.6916,1.9407,0.5918,38.0961
4.4413,0.7969,2.0230,0.5024,38.2050
4.3934,0.8992,2.1022,0.4233,38.3138
4.3413,0.9985,2.1785,0.3545,38.4227
4.2856,1.0952,2.2522,0.2960,38.5315
4.2270,1.1897,2.3235,0.2489,38.6403
4.1661,1.2824,2.3928,0.2115,38.7492
4.1032,1.3734,2.4601,0.1820,38.8580
4.0387,1.4628,2.5256,0.1573,38.9669
3.9728,1.5511,2.5894,0.1355,39.0757
3.9057,1.6381,2.6517,0.1157,39.1846
3.8376,1.7243,2.7126,0.0979,39.2934
3.7687,1.8095,2.7721,0.0808,39.4023
3.6991,1.8940,2.8304,0.0659,39.5111
3.6291,1.9779,2.8875,0.0499,39.6200
3.5586,2.0614,2.9435,0.0328,39.7288
3.4879,2.1445,2.9985,0.0143,39.8377
3.4173,2.2273,3.0000,0.0059,39.9465
3.3468,2.3101,3.0000,0.0260,40.0553
3.2767,2.3929,3.0000,0.0461,40.1642
3.2070,2.4759,3.0000,0.0664,40.2730
3.1381,2.5593,2.9632,0.0851,40.3819
3.0700,2.6432,2.9076,0.1046,40.4907
