x_map,y_map,v_target,kappa,s
0.8483,4.1102,1.9212,1.3005,0.0000
0.7914,4.0124,2.0842,0.9976,0.1088
0.7439,3.9056,2.2354,0.8605,0.2177
0.7068,3.7960,2.3770,0.7357,0.3265
0.6790,3.6847,2.5106,0.6215,0.4354
0.6589,3.5727,2.6375,0.5177,0.5442
0.6452,3.4607,2.7585,0.4213,0.6531
0.6367,3.3489,2.8744,0.3329,0.7619
0.6324,3.2375,2.9859,0.2612,0.8708
0.6312,3.1267,3.0933,0.1973,0.9796
0.6324,3.0164,3.1971,0.1449,1.0885
0.6353,2.9065,3.2977,0.1022,1.1973
0.6395,2.7970,3.3953,0.0702,1.3062
0.6444,2.6878,3.4901,0.0471,1.4150
0.6499,2.5786,3.5824,0.0297,1.5238
0.6557,2.4699,3.6725,0.0163,1.6327
0.6617,2.3611,3.7603,0.0055,1.7415
0.6678,2.2523,3.8462,0.0045,1.8504
0.6739,2.1437,3.9302,0.0127,1.9592
0.6798,2.0352,4.0124,0.0194,2.0681
0.6854,1.9267,4.0930,0.0255,2.1769
0.6908,1.8182,4.1720,0.0303,2.2858
0.6958,1.7098,4.2495,0.0323,2.3946
0.7004,1.6013,4.3257,0.0339,2.5035
0.7046,1.4929,4.4005,0.0338,2.6123
0.7083,1.3844,4.4741,0.0346,2.7212
0.7117,1.2758,4.5465,0.0332,2.8300
0.7147,1.1673,4.6178,0.0331,2.9388
0.7174,1.0588,4.6880,0.0322,3.0477
0.7196,0.9503,4.7571,0.0311,3.1565
0.7215,0.8417,4.8253,0.0296,3.2654
0.7230,0.7331,4.8925,0.0287,3.3742
0.7242,0.6246,4.9588,0.0264,3.4831
0.7250,0.5159,5.0242,0.0248,3.5919
0.7256,0.4073,5.0888,0.0228,3.7008
0.7259,0.2986,5.1525,0.0202,3.8096
0.7260,0.1899,5.2155,0.0177,3.9185
0.7258,0.0812,5.2778,0.0154,4.0273
0.7255,-0.0275,5.3393,0.0130,4.1361
0.7250,-0.1363,5.4001,0.0110,4.2450
0.7244,-0.2450,5.4602,0.0086,4.3538
0.7237,-0.3537,5.5197,0.0067,4.4627
0.7229,-0.4626,5.5785,0.0044,4.5715
0.7221,-0.5714,5.6368,0.0025,4.6804
0.7212,-0.6802,5.6944,0.0013,4.7892
0.7203,-0.7890,5.7515,0.0001,4.8981
0.7194,-0.8980,5.8080,0.0015,5.0069
0.7186,-1.0068,5.8639,0.0024,5.1158
0.7177,-1.1156,5.9193,0.0034,5.2246
0.7169,-1.2245,5.9742,0.0042,5.3335
0.7162,-1.3334,6.0287,0.0045,5.4423
0.7155,-1.4423,6.0826,0.0050,5.5511
0.7148,-1.5512,6.1360,0.0054,5.6600
0.7143,-1.6601,6.1890,0.0057,5.7688
0.7138,-1.7689,6.2416,0.0055,5.8777
0.7133,-1.8779,6.2937,0.0058,5.9865
0.7129,-1.9867,6.3453,0.0054,6.0954
0.7126,-2.0956,6.3966,0.0052,6.2042
0.7124,-2.2046,6.4474,0.0047,6.3131
0.7122,-2.3134,6.4979,0.0047,6.4219
0.7121,-2.4223,6.5000,0.0046,6.5308
