x_map,y_map,v_target,kappa,s
0.7933,-3.8374,3.0000,0.000297,7.9458
0.7935,-3.9462,3.0000,0.000844,8.0546
0.7936,-4.0551,3.0000,0.001177,8.1635
0.7938,-4.1639,3.0000,0.000532,8.2723
0.7939,-4.2728,3.0000,0.001259,8.3811
0.7940,-4.3816,3.0000,0.001015,8.4900
0.7941,-4.4905,3.0000,0.001182,8.5988
0.7942,-4.5993,3.0000,0.001123,8.7077
0.7943,-4.7081,3.0000,0.001217,8.8165
0.7944,-4.8170,3.0000,0.000996,8.9254
0.7944,-4.9258,3.0000,0.000911,9.0342
0.7945,-5.0347,3.0000,0.000571,9.1431
0.7945,-5.1435,3.0000,0.000356,9.2519
0.7945,-5.2524,3.0000,0.000439,9.3608
0.7946,-5.3612,3.0000,0.000524,9.4696
0.7946,-5.4701,3.0000,0.000539,9.5785
0.7946,-5.5789,3.0000,0.000235,9.6873
0.7946,-5.6878,3.0000,0.000130,9.7961
0.7946,-5.7966,3.0000,0.000270,9.9050
0.7946,-5.9055,3.0000,0.000151,10.0138
0.7947,-6.0143,3.0000,0.000000,10.1227
0.7947,-6.1231,3.0000,0.000000,10.2315
0.7947,-6.2320,3.0000,0.000000,10.3404
0.7947,-6.3408,3.0000,0.000000,10.4492
0.7947,-6.4497,3.0000,0.000000,10.5581
0.7947,-6.5585,3.0000,0.000000,10.6669
0.7947,-6.6674,3.0000,0.000100,10.7758
0.7947,-6.7762,3.0000,0.000278,10.8846
0.7947,-6.8851,3.0000,0.000172,10.9935
0.7947,-6.9939,3.0000,0.000147,11.1023
0.7947,-7.1028,3.0000,0.000404,11.2111
0.7947,-7.2116,3.0000,0.000000,11.3200
0.7947,-7.3204,3.0000,0.000000,11.4288
0.7947,-7.4293,3.0000,0.000000,11.5377
0.7947,-7.5381,3.0000,0.000000,11.6465
0.7947,-7.6470,3.0000,0.000000,11.7554
0.7947,-7.7558,3.0000,0.000000,11.8642
0.7947,-7.8647,3.0000,0.000000,11.9731
0.7946,-7.9735,3.0000,0.000000,12.0819
0.7946,-8.0824,3.0000,0.000000,12.1908
0.7946,-8.1912,3.0000,0.000000,12.2996
0.7946,-8.3001,3.0000,0.000000,12.4084
0.7946,-8.4089,3.0000,0.000000,12.5173
0.7946,-8.5178,3.0000,0.000000,12.6261
0.7946,-8.6266,3.0000,0.000000,12.7350
0.7946,-8.7354,3.0000,0.000517,12.8438
0.7946,-8.8443,3.0000,0.000033,12.9527
0.7946,-8.9531,3.0000,0.000000,13.0615
0.7946,-9.0620,3.0000,0.000000,13.1704
0.7946,-9.1708,3.0000,0.000469,13.2792
0.7946,-9.2797,3.0000,0.000081,13.3881
0.7946,-9.3885,3.0000,0.000000,13.4969
0.7946,-9.4974,3.0000,0.000000,13.6058
0.7946,-9.6062,3.0000,0.000000,13.7146
0.7946,-9.7151,3.0000,0.000000,13.8234
0.7946,-9.8239,3.0000,0.000000,13.9323
0.7946,-9.9328,3.0000,0.000000,14.0411
0.7945,-10.0416,3.0000,0.000000,14.1500
0.7945,-10.1504,3.0000,0.000000,14.2588
0.7945,-10.2593,3.0000,0.000000,14.3677
0.7945,-10.3681,3.0000,0.000000,14.4765
0.7945,-10.4770,3.0000,0.000000,14.5854
0.7945,-10.5858,3.0000,0.000000,14.6942
0.7945,-10.6947,3.0000,0.000000,14.8031
0.7945,-10.8035,3.0000,0.000289,14.9119
0.7945,-10.9124,3.0000,0.000262,15.0208
0.7945,-11.0212,3.0000,0.000265,15.1296
0.7945,-11.1301,3.0000,0.000286,15.2384
0.7945,-11.2389,3.0000,0.000000,15.3473
0.7945,-11.3478,3.0000,0.000000,15.4561
0.7945,-11.4566,3.0000,0.000000,15.5650
0.7945,-11.5654,3.0000,0.000000,15.6738
0.7945,-11.6743,3.0000,0.000000,15.7827
0.7945,-11.7831,3.0000,0.000000,15.8915
0.7945,-11.8920,3.0000,0.000000,16.0004
0.7944,-12.0008,3.0000,0.000000,16.1092
0.7944,-12.1097,3.0000,0.000000,16.2181
0.7944,-12.2185,3.0000,0.000000,16.3269
0.7944,-12.3274,3.0000,0.000000,16.4358
0.7944,-12.4362,3.0000,0.000000,16.5446
0.7944,-12.5451,3.0000,0.000000,16.6534
0.7944,-12.6539,3.0000,0.000084,16.7623
0.7944,-12.7628,3.0000,0.000391,16.8711
0.7944,-12.8716,2.9632,0.000535,16.9800
0.7944,-12.9804,2.9076,0.000613,17.0888
0.7944,-13.0893,2.8509,0.001438,17.1977
0.7943,-13.1981,2.7931,0.002566,17.3065
0.7943,-13.3070,2.7340,0.004920,17.4154
0.7942,-13.4158,2.6736,0.005394,17.5242
0.7940,-13.5247,2.6118,0.002630,17.6331
0.7938,-13.6335,2.5485,0.004587,17.7419
0.7936,-13.7424,2.4836,0.014230,17.8508
0.7936,-13.8512,2.4170,0.027049,17.9596
0.7939,-13.9601,2.3485,0.041209,18.0684
0.7948,-14.0689,2.2779,0.058344,18.1773
0.7963,-14.1777,2.2051,0.105432,18.2861
0.7990,-14.2865,2.1297,0.200456,18.3950
0.8041,-14.3953,2.0516,0.300719,18.5038
0.8128,-14.5038,1.9705,0.401148,18.6127
0.8262,-14.6118,1.8858,0.505367,18.7215
0.8456,-14.7188,1.7971,0.618619,18.8304
0.8721,-14.8244,1.7038,0.743591,18.9392
0.9070,-14.9274,1.6052,0.925886,19.0481
0.9521,-15.0264,1.5000,1.134112,19.1569
1.0090,-15.1191,1.5000,1.267108,19.2658
1.0781,-15.2030,1.5000,1.439494,19.3746
1.1593,-15.2750,1.5000,1.590797,19.4834
1.2518,-15.3320,1.5000,1.862462,19.5923
1.3538,-15.3692,1.5000,1.824802,19.7011
1.4611,-15.3856,1.5000,1.583664,19.8100
1.5697,-15.3833,1.5000,1.432483,19.9188
1.6766,-15.3643,1.5000,1.276609,20.0277
1.7800,-15.3305,1.5000,1.141099,20.1365
1.8784,-15.2842,1.5575,1.030647,20.2454
1.9711,-15.2272,1.6590,0.839698,20.3542
2.0582,-15.1620,1.7546,0.732631,20.4631
2.1398,-15.0900,1.8453,0.632462,20.5719
2.2162,-15.0125,1.9318,0.536724,20.6807
2.2881,-14.9308,2.0145,0.447587,20.7896
2.3558,-14.8456,2.0940,0.364206,20.8984
2.4201,-14.7578,2.1706,0.289302,21.0073
2.4817,-14.6680,2.2445,0.225241,21.1161
2.5410,-14.5768,2.3161,0.171139,21.2250
2.5986,-14.4844,2.3856,0.125656,21.3338
2.6549,-14.3913,2.4531,0.088778,21.4427
2.7104,-14.2976,2.5188,0.058490,21.5515
2.7652,-14.2036,2.5828,0.032345,21.6604
2.8197,-14.1094,2.6452,0.005774,21.7692
2.8741,-14.0151,2.7062,0.019981,21.8781
2.9288,-13.9210,2.7659,0.046569,21.9869
2.9839,-13.8271,2.8243,0.069828,22.0957
3.0398,-13.7337,2.8816,0.090038,22.2046
3.0965,-13.6408,2.9377,0.104629,22.3134
3.1543,-13.5486,2.9927,0.116556,22.4223
3.2133,-13.4571,3.0000,0.123813,22.5311
3.2735,-13.3664,3.0000,0.128629,22.6400
3.3349,-13.2766,2.9774,0.130884,22.7488
3.3977,-13.1876,2.9221,0.132339,22.8577
3.4617,-13.0996,2.8657,0.132371,22.9665
3.5270,-13.0125,2.8081,0.132742,23.0754
3.5935,-12.9264,2.7494,0.133126,23.1842
3.6612,-12.8412,2.6893,0.133921,23.2931
3.7302,-12.7570,2.6279,0.131508,23.4019
3.8004,-12.6738,2.5650,0.132431,23.5107
3.8718,-12.5917,2.5006,0.111079,23.6196
3.9442,-12.5104,2.4344,0.035659,23.7284
4.0169,-12.4293,2.3664,0.070073,23.8373
4.0890,-12.3478,2.2963,0.175776,23.9461
4.1594,-12.2649,2.2241,0.276212,24.0550
4.2274,-12.1799,2.1494,0.372869,24.1638
4.2919,-12.0922,2.0721,0.468339,24.2727
4.3518,-12.0013,1.9917,0.563505,24.3815
4.4060,-11.9070,1.9080,0.657507,24.4904
4.4533,-11.8091,1.8204,0.748500,24.5992
4.4925,-11.7076,1.7284,0.832466,24.7081
4.5224,-11.6030,1.6312,0.939532,24.8169
4.5414,-11.4958,1.5780,1.004046,24.9257
4.5486,-11.3873,1.6132,0.960646,25.0346
4.5445,-11.2786,1.6360,0.934073,25.1434
4.5293,-11.1709,1.7073,0.857677,25.2523
4.5042,-11.0651,1.8004,0.749571,25.3611
4.4706,-10.9617,1.8889,0.644333,25.4700
4.4297,-10.8608,1.9734,0.549368,25.5788
4.3830,-10.7626,2.0545,0.462720,25.6877
4.3313,-10.6668,2.1325,0.383475,25.7965
4.2757,-10.5733,2.2077,0.312137,25.9054
4.2169,-10.4817,2.2805,0.250300,26.0142
4.1556,-10.3917,2.3510,0.198563,26.1231
4.0924,-10.3031,2.4194,0.154439,26.2319
4.0278,-10.2155,2.4860,0.117350,26.3407
3.9620,-10.1288,2.5508,0.085488,26.4496
3.8954,-10.0427,2.6141,0.057950,26.5584
3.8283,-9.9570,2.6758,0.030401,26.6673
3.7609,-9.8716,2.7361,0.006959,26.7761
3.6935,-9.7861,2.7952,0.055501,26.8850
3.6267,-9.7001,2.8530,0.099748,26.9938
3.5608,-9.6135,2.9096,0.135432,27.1027
3.4962,-9.5259,2.9652,0.164074,27.2115
3.4332,-9.4372,3.0000,0.187138,27.3204
3.3720,-9.3472,3.0000,0.205716,27.4292
3.3128,-9.2558,3.0000,0.222687,27.5380
3.2558,-9.1631,3.0000,0.237767,27.6469
3.2013,-9.0689,3.0000,0.251113,27.7557
3.1494,-8.9732,3.0000,0.261509,27.8646
3.1002,-8.8761,3.0000,0.269721,27.9734
3.0539,-8.7776,3.0000,0.274065,28.0823
3.0105,-8.6778,3.0000,0.276549,28.1911
2.9702,-8.5767,3.0000,0.275103,28.3000
2.9329,-8.4745,3.0000,0.261664,28.4088
2.8985,-8.3712,3.0000,0.233022,28.5177
2.8668,-8.2671,3.0000,0.206714,28.6265
2.8374,-8.1623,3.0000,0.190285,28.7354
2.8102,-8.0569,3.0000,0.176722,28.8442
2.7850,-7.9510,3.0000,0.165678,28.9530
2.7618,-7.8446,3.0000,0.156962,29.0619
2.7403,-7.7379,3.0000,0.147929,29.1707
2.7206,-7.6309,3.0000,0.138294,29.2796
2.7025,-7.5236,3.0000,0.128486,29.3884
2.6859,-7.4160,3.0000,0.120055,29.4973
2.6707,-7.3082,3.0000,0.111149,29.6061
2.6568,-7.2003,3.0000,0.103445,29.7150
2.6441,-7.0922,3.0000,0.094832,29.8238
2.6326,-6.9839,3.0000,0.088106,29.9327
2.6220,-6.8756,3.0000,0.081282,30.0415
2.6125,-6.7672,3.0000,0.074654,30.1504
2.6038,-6.6587,3.0000,0.069111,30.2592
2.5959,-6.5501,3.0000,0.064475,30.3680
2.5888,-6.4415,3.0000,0.060551,30.4769
2.5824,-6.3328,3.0000,0.056920,30.5857
2.5767,-6.2241,3.0000,0.053807,30.6946
2.5717,-6.1154,3.0000,0.051435,30.8034
2.5672,-6.0067,3.0000,0.048809,30.9123
2.5633,-5.8979,3.0000,0.046827,31.0211
2.5600,-5.7891,3.0000,0.045222,31.1300
2.5572,-5.6803,3.0000,0.043646,31.2388
2.5549,-5.5715,3.0000,0.042882,31.3477
2.5531,-5.4626,3.0000,0.042741,31.4565
2.5518,-5.3538,3.0000,0.042091,31.5654
2.5511,-5.2449,3.0000,0.042010,31.6742
2.5508,-5.1361,3.0000,0.043047,31.7830
2.5510,-5.0272,3.0000,0.043985,31.8919
2.5518,-4.9184,3.0000,0.045015,32.0007
2.5531,-4.8096,3.0000,0.047975,32.1096
2.5549,-4.7007,3.0000,0.057082,32.2184
2.5575,-4.5919,3.0000,0.069807,32.3273
2.5608,-4.4831,3.0000,0.078614,32.4361
2.5651,-4.3744,3.0000,0.084557,32.5450
2.5704,-4.2657,3.0000,0.089024,32.6538
2.5768,-4.1570,3.0000,0.092618,32.7627
2.5842,-4.0484,3.0000,0.100014,32.8715
2.5928,-3.9399,3.0000,0.121697,32.9804
2.6029,-3.8315,3.0000,0.147512,33.0892
2.6147,-3.7233,3.0000,0.170009,33.1980
2.6285,-3.6154,3.0000,0.187348,33.3069
2.6445,-3.5077,3.0000,0.199937,33.4157
2.6628,-3.4004,3.0000,0.210645,33.5246
2.6836,-3.2936,3.0000,0.219034,33.6334
2.7070,-3.1873,3.0000,0.226310,33.7423
2.7329,-3.0816,3.0000,0.228582,33.8511
2.7615,-2.9765,3.0000,0.223657,33.9600
2.7926,-2.8722,3.0000,0.222224,34.0688
2.8262,-2.7687,3.0000,0.223870,34.1777
2.8624,-2.6660,3.0000,0.226819,34.2865
2.9010,-2.5643,3.0000,0.231706,34.3954
2.9422,-2.4635,3.0000,0.233523,34.5042
2.9860,-2.3639,3.0000,0.216850,34.6130
3.0321,-2.2653,3.0000,0.195322,34.7219
3.0803,-2.1677,3.0000,0.178756,34.8307
3.1304,-2.0711,3.0000,0.167838,34.9396
3.1822,-1.9753,3.0000,0.162262,35.0484
3.2357,-1.8806,3.0000,0.158743,35.1573
3.2909,-1.7867,3.0000,0.157640,35.2661
3.3476,-1.6938,2.9885,0.156840,35.3750
3.4060,-1.6020,2.9333,0.155424,35.4838
3.4658,-1.5111,2.8771,0.154188,35.5927
3.5272,-1.4212,2.8198,0.153575,35.7015
3.5901,-1.3323,2.7613,0.153369,35.8103
3.6545,-1.2446,2.7015,0.154015,35.9192
3.7203,-1.1579,2.6404,0.153139,36.0280
3.7876,-1.0723,2.5778,0.146341,36.1369
3.8562,-0.9878,2.5137,0.113381,36.2457
3.9258,-0.9042,2.4479,0.030834,36.3546
3.9957,-0.8207,2.3803,0.076448,36.4634
4.0650,-0.7368,2.3106,0.180829,36.5723
4.1325,-0.6514,2.2389,0.280247,36.6811
4.1975,-0.5641,2.1647,0.376014,36.7900
4.2588,-0.4742,2.0879,0.470553,36.8988
4.3154,-0.3812,2.0082,0.563423,37.0077
4.3662,-0.2850,1.9252,0.653623,37.1165
4.4100,-0.1855,1.8384,0.739321,37.2253
4.4457,-0.0827,1.7474,0.816348,37.3342
4.4721,0.0229,1.6513,0.916832,37.4430
4.4879,0.1305,1.6118,0.962320,37.5519
4.4923,0.2392,1.6465,0.922179,37.6607
4.4858,0.3478,1.6805,0.885201,37.7696
4.4690,0.4552,1.7644,0.803068,37.8784
4.4428,0.5608,1.8546,0.694234,37.9873
4.4087,0.6641,1.9407,0.591847,38.0961
4.3680,0.7650,2.0230,0.502443,38.2050
4.3218,0.8636,2.1022,0.423290,38.3138
4.2712,0.9599,2.1785,0.354514,38.4227
4.2169,1.0542,2.2522,0.295963,38.5315
4.1596,1.1467,2.3235,0.248914,38.6403
4.0998,1.2377,2.3928,0.211529,38.7492
4.0379,1.3272,2.4601,0.182050,38.8580
3.9742,1.4155,2.5256,0.157291,38.9669
3.9091,1.5027,2.5894,0.135461,39.0757
3.8426,1.5889,2.6517,0.115683,39.1846
3.7751,1.6743,2.7126,0.097935,39.2934
3.7067,1.7589,2.7721,0.080785,39.4023
3.6375,1.8430,2.8304,0.065906,39.5111
3.5678,1.9265,2.8875,0.049861,39.6200
3.4976,2.0097,2.9435,0.032767,39.7288
3.4270,2.0926,2.9985,0.014303,39.8377
3.3564,2.1754,3.0000,0.005882,39.9465
3.2858,2.2583,3.0000,0.026016,40.0553
3.2155,2.3413,3.0000,0.046087,40.1642
3.1455,2.4247,3.0000,0.066379,40.2730
3.0762,2.5086,2.9632,0.085120,40.3819
3.0076,2.5932,2.9076,0.104564,40.4907
2.9400,2.6785,2.8509,0.119412,40.5996
2.8736,2.7647,2.7931,0.130253,40.7084
2.8083,2.8518,2.7340,0.140204,40.8173
2.7444,2.9399,2.6736,0.146355,40.9261
2.6819,3.0290,2.6118,0.142027,41.0350
2.6208,3.1191,2.5485,0.129581,41.1438
2.5610,3.2100,2.4836,0.110795,41.2527
2.5023,3.3017,2.4170,0.087987,41.3615
2.4444,3.3939,2.3485,0.051910,41.4703
2.3871,3.4864,2.2779,0.006122,41.5792
2.3298,3.5790,2.2051,0.047803,41.6880
2.2721,3.6712,2.1297,0.140251,41.7969
2.2129,3.7626,2.0516,0.253056,41.9057
2.1513,3.8523,1.9705,0.364124,42.0146
2.0862,3.9395,1.8858,0.478308,42.1234
2.0166,4.0231,1.7971,0.602964,42.2323
1.9417,4.1020,1.7038,0.740850,42.3411
1.8607,4.1747,1.6052,0.895981,42.4500
1.7730,4.2390,1.5000,1.192955,42.5588
1.6777,4.2915,1.5000,1.326452,42.6676
1.5760,4.3297,1.5000,1.493210,42.7765
1.4695,4.3509,1.5000,1.654839,42.8853
1.3610,4.3528,1.5000,1.913258,42.9942
1.2544,4.3321,1.5000,1.948516,43.1030
1.1545,4.2895,1.5000,1.684182,43.2119
1.0641,4.2295,1.5000,1.533801,43.3207
0.9848,4.1552,1.5000,1.367944,43.4296
