# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.0515,-4.8038,0.8725,0.8725
-0.0600,-4.8804,0.8711,0.8711
-0.0686,-4.9571,0.8673,0.8673
-0.0750,-5.0339,0.8645,0.8645
-0.0801,-5.1107,0.8629,0.8629
-0.0886,-5.1874,0.8609,0.8609
-0.1024,-5.2632,0.8644,0.8644
-0.1191,-5.3385,0.8722,0.8722
-0.1358,-5.4138,0.8804,0.8804
-0.1526,-5.4891,0.8888,0.8888
-0.1639,-5.5653,0.8933,0.8933
-0.1753,-5.6415,0.9004,0.9004
-0.1864,-5.7177,0.9064,0.9064
-0.1949,-5.7944,0.9080,0.9080
-0.2041,-5.8710,0.9090,0.9090
-0.2208,-5.9463,0.9174,0.9174
-0.2382,-6.0214,0.9265,0.9265
-0.2595,-6.0954,0.9406,0.9406
-0.2819,-6.1691,0.9581,0.9581
-0.3089,-6.2413,0.9797,0.9797
-0.3443,-6.3098,1.0091,1.0091
-0.3761,-6.3800,1.0335,1.0335
-0.4105,-6.4490,1.0579,1.0579
-0.4481,-6.5163,1.0835,1.0835
-0.4896,-6.5813,1.1111,1.1111
-0.5297,-6.6471,1.1344,1.1344
-0.5725,-6.7113,1.1580,1.1580
-0.6161,-6.7749,1.1740,1.1740
-0.6659,-6.8337,1.1866,1.1866
-0.7204,-6.8882,1.1965,1.1965
-0.7775,-6.9401,1.1991,1.1991
-0.8366,-6.9894,1.1908,1.1908
-0.9008,-7.0322,1.1829,1.1829
-0.9670,-7.0717,1.1686,1.1686
-1.0371,-7.1037,1.1550,1.1550
-1.1076,-7.1351,1.1413,1.1413
-1.1802,-7.1612,1.1317,1.1317
-1.2547,-7.1794,1.1224,1.1224
-1.3314,-7.1872,1.1067,1.1067
-1.4085,-7.1872,1.0891,1.0891
-1.4851,-7.1794,1.0581,1.0581
-1.5604,-7.1627,1.0253,1.0253
-1.6357,-7.1460,0.9867,0.9867
-1.7110,-7.1292,0.9436,0.9436
-1.7863,-7.1125,0.9026,0.9026
-1.8606,-7.0920,0.8628,0.8628
-1.9355,-7.0738,0.8296,0.8296
-2.0098,-7.0534,0.7991,0.7991
-2.0829,-7.0290,0.7686,0.7686
-2.1570,-7.0079,0.7443,0.7443
-2.2307,-6.9853,0.7208,0.7208
-2.3047,-6.9640,0.7011,0.7011
-2.3785,-6.9416,0.6836,0.6836
-2.4524,-6.9200,0.6715,0.6715
-2.5276,-6.9030,0.6692,0.6692
-2.6008,-6.8786,0.6658,0.6658
-2.6754,-6.8593,0.6733,0.6733
-2.7486,-6.8349,0.6820,0.6820
-2.8218,-6.8105,0.6961,0.6961
-2.8916,-6.7780,0.7099,0.7099
-2.9574,-6.7378,0.7188,0.7188
-3.0216,-6.6950,0.7266,0.7266
-3.0823,-6.6474,0.7265,0.7265
-3.1391,-6.5953,0.7211,0.7211
-3.1922,-6.5394,0.7168,0.7168
-3.2412,-6.4799,0.7094,0.7094
-3.2851,-6.4165,0.7022,0.7022
-3.3268,-6.3517,0.6903,0.6903
-3.3643,-6.2843,0.6775,0.6775
-3.3973,-6.2146,0.6683,0.6683
-3.4217,-6.1415,0.6636,0.6636
-3.4461,-6.0683,0.6542,0.6542
-3.4705,-5.9951,0.6424,0.6424
-3.4904,-5.9207,0.6349,0.6349
-3.5050,-5.8450,0.6281,0.6281
-3.5135,-5.7683,0.6215,0.6215
-3.5220,-5.6917,0.6130,0.6130
-3.5250,-5.6147,0.6098,0.6098
-3.5250,-5.5376,0.6077,0.6077
-3.5250,-5.4604,0.6030,0.6030
-3.5250,-5.3833,0.6014,0.6014
-3.5250,-5.3062,0.6014,0.6014
-3.5250,-5.2290,0.6014,0.6014
-3.5180,-5.1523,0.6044,0.6044
-3.5095,-5.0756,0.6087,0.6087
-3.4993,-4.9992,0.6117,0.6117
-3.4825,-4.9239,0.6191,0.6191
-3.4591,-4.8505,0.6272,0.6272
-3.4311,-4.7787,0.6370,0.6370
-3.3992,-4.7085,0.6458,0.6458
-3.3598,-4.6422,0.6524,0.6524
-3.3170,-4.5780,0.6583,0.6583
-3.2742,-4.5139,0.6595,0.6595
-3.2268,-4.4530,0.6623,0.6623
-3.1780,-4.3933,0.6654,0.6654
-3.1267,-4.3357,0.6687,0.6687
-3.0755,-4.2780,0.6727,0.6727
-3.0242,-4.2204,0.6771,0.6771
-2.9730,-4.1627,0.6816,0.6816
-2.9217,-4.1051,0.6900,0.6900
-2.8705,-4.0474,0.6972,0.6972
-2.8192,-3.9898,0.7045,0.7045
-2.7680,-3.9321,0.7132,0.7132
-2.7167,-3.8745,0.7221,0.7221
-2.6655,-3.8168,0.7311,0.7311
-2.6143,-3.7592,0.7407,0.7407
-2.5622,-3.7022,0.7510,0.7510
-2.5087,-3.6467,0.7601,0.7601
-2.4575,-3.5890,0.7686,0.7686
-2.4062,-3.5314,0.7736,0.7736
-2.3578,-3.4714,0.7770,0.7770
-2.3108,-3.4103,0.7750,0.7750
-2.2680,-3.3461,0.7716,0.7716
-2.2252,-3.2819,0.7632,0.7632
-2.1863,-3.2154,0.7554,0.7554
-2.1488,-3.1479,0.7486,0.7486
-2.1114,-3.0805,0.7396,0.7396
-2.0739,-3.0131,0.7287,0.7287
-2.0365,-2.9456,0.7155,0.7155
-1.9990,-2.8782,0.7004,0.7004
-1.9659,-2.8086,0.6880,0.6880
-1.9284,-2.7412,0.6674,0.6674
-1.8910,-2.6737,0.6440,0.6440
-1.8588,-2.6036,0.6237,0.6237
-1.8275,-2.5332,0.6068,0.6068
-1.7964,-2.4626,0.5917,0.5917
-1.7696,-2.3903,0.5818,0.5818
-1.7427,-2.3181,0.5735,0.5735
-1.7183,-2.2450,0.5685,0.5685
-1.6939,-2.1718,0.5675,0.5675
-1.6712,-2.0981,0.5607,0.5607
-1.6545,-2.0228,0.5524,0.5524
-1.6325,-1.9490,0.5448,0.5448
-1.6158,-1.8737,0.5365,0.5365
-1.6009,-1.7981,0.5268,0.5268
-1.5924,-1.7214,0.5168,0.5168
-1.5817,-1.6451,0.5129,0.5129
-1.5650,-1.5698,0.5188,0.5188
-1.5559,-1.4932,0.5218,0.5218
-1.5474,-1.4165,0.5279,0.5279
-1.5389,-1.3399,0.5363,0.5363
-1.5304,-1.2632,0.5460,0.5460
-1.5250,-1.1864,0.5557,0.5557
-1.5250,-1.1092,0.5636,0.5636
-1.5250,-1.0321,0.5722,0.5722
-1.5316,-0.9553,0.5745,0.5745
-1.5401,-0.8787,0.5768,0.5768
-1.5487,-0.8020,0.5811,0.5811
-1.5614,-0.7260,0.5825,0.5825
-1.5782,-0.6507,0.5806,0.5806
-1.5949,-0.5754,0.5816,0.5816
-1.6063,-0.4992,0.5889,0.5889
