# x_m,y_m,w_tr_right_m,w_tr_left_m
3.3197,-13.2093,0.6050,0.5050
3.4068,-13.0937,0.6050,0.4800
3.5043,-12.9805,0.6050,0.4800
3.6101,-12.8691,0.6050,0.5050
3.7220,-12.7589,0.6050,0.5050
3.8372,-12.6491,0.6050,0.5050
3.9536,-12.5391,0.5550,0.5300
4.0684,-12.4282,0.5800,0.5300
4.1794,-12.3157,0.5800,0.5300
4.2840,-12.2010,0.6050,0.5550
4.3798,-12.0833,0.6050,0.5300
4.4643,-11.9620,0.6550,0.5300
4.5351,-11.8365,0.7050,0.4800
4.5898,-11.7073,0.8800,0.6550
4.6261,-11.5761,1.0050,0.6550
4.6420,-11.4445,1.0300,0.7050
4.6353,-11.3141,0.8300,0.6550
4.6065,-11.1857,0.6300,0.6800
4.5585,-11.0588,0.5550,0.7050
4.4941,-10.9333,0.5050,0.6800
4.4163,-10.8089,0.4300,0.6050
4.3279,-10.6852,0.4300,0.5300
4.2317,-10.5620,0.3800,0.5300
4.1306,-10.4391,0.5800,0.5550
4.0276,-10.3161,0.5800,0.5550
3.9255,-10.1927,0.5550,0.5550
3.8271,-10.0688,0.5550,0.6050
3.7335,-9.9441,0.5300,0.6050
3.6447,-9.8186,0.5050,0.6550
3.5604,-9.6924,0.4800,0.6800
3.4807,-9.5653,0.4550,0.7300
3.4052,-9.4375,0.4300,0.7550
3.3339,-9.3088,0.3800,0.8300
3.2667,-9.1792,0.3300,0.8300
3.2033,-9.0488,0.3050,0.8800
3.1437,-8.9175,0.3050,0.8550
3.0877,-8.7853,0.2550,0.8800
3.0351,-8.6521,0.2050,0.9300
2.9859,-8.5181,0.1800,0.9800
2.9398,-8.3830,0.2300,0.9050
2.8967,-8.2470,0.2800,0.8550
2.8565,-8.1099,0.3300,0.8550
2.8191,-7.9719,0.3550,0.8300
2.7843,-7.8328,0.3300,0.8300
2.7519,-7.6927,0.3800,0.8050
2.7218,-7.5515,0.4050,0.7550
2.6939,-7.4092,0.4300,0.7300
2.6680,-7.2658,0.4550,0.7050
2.6439,-7.1213,0.4800,0.6800
2.6217,-6.9756,0.5050,0.6550
2.6011,-6.8288,0.5050,0.6300
2.5822,-6.6811,0.5300,0.6050
2.5651,-6.5324,0.5050,0.6050
2.5498,-6.3830,0.5050,0.6300
2.5364,-6.2329,0.5300,0.6050
2.5248,-6.0822,0.5300,0.6050
2.5152,-5.9310,0.5550,0.5800
2.5076,-5.7795,0.5550,0.5800
2.5019,-5.6277,0.5550,0.5800
2.4983,-5.4757,0.5550,0.5800
2.4968,-5.3236,0.5550,0.5800
2.4975,-5.1716,0.5550,0.5800
2.5003,-5.0197,0.5550,0.5800
2.5052,-4.8680,0.5550,0.5800
2.5125,-4.7167,0.5550,0.5800
2.5220,-4.5658,0.5300,0.6050
2.5338,-4.4155,0.5300,0.6050
2.5481,-4.2658,0.5050,0.6300
2.5647,-4.1168,0.5050,0.6550
2.5837,-3.9688,0.4800,0.6550
2.6053,-3.8216,0.4550,0.6800
2.6293,-3.6756,0.4300,0.7050
2.6560,-3.5306,0.4050,0.7550
2.6853,-3.3869,0.3800,0.7800
2.7174,-3.2443,0.3550,0.8050
2.7524,-3.1030,0.2800,0.8550
2.7904,-2.9629,0.2300,0.8550
2.8315,-2.8241,0.2550,0.8550
2.8758,-2.6866,0.3050,0.8050
2.9235,-2.5504,0.3050,0.7550
2.9745,-2.4156,0.3050,0.7550
3.0291,-2.2822,0.3800,0.7300
3.0874,-2.1502,0.4050,0.6800
3.1493,-2.0197,0.4550,0.6550
3.2151,-1.8906,0.4800,0.5800
3.2849,-1.7630,0.5050,0.5550
3.3588,-1.6369,0.5300,0.5050
3.4368,-1.5124,0.5550,0.4550
3.5190,-1.3895,0.5550,0.5550
3.6057,-1.2682,0.5800,0.5050
3.6968,-1.1484,0.6300,0.5050
3.7926,-1.0304,0.6550,0.4550
3.8930,-0.9140,0.6550,0.4550
3.9980,-0.7993,0.6550,0.4800
4.1053,-0.6857,0.6550,0.5050
4.2111,-0.5722,0.6550,0.4800
4.3116,-0.4579,0.6800,0.4800
4.4028,-0.3419,0.7050,0.4300
4.4811,-0.2230,0.7550,0.4300
4.5425,-0.1006,0.8550,0.4550
4.5833,0.0266,1.1050,0.5800
4.6018,0.1584,1.0550,0.6300
4.5997,0.2938,0.9050,0.6300
4.5788,0.4315,0.7550,0.6300
4.5412,0.5701,0.6050,0.6050
4.4887,0.7084,0.5300,0.5050
4.4234,0.8450,0.4550,0.5550
4.3471,0.9788,0.3800,0.5800
4.2619,1.1083,0.4550,0.5550
4.1692,1.2336,0.5300,0.5800
4.0706,1.3550,0.5550,0.6050
3.9675,1.4732,0.5050,0.6300
3.8613,1.5887,0.5300,0.6300
3.7534,1.7020,0.5050,0.6300
3.6453,1.8136,0.5050,0.5800
3.5384,1.9241,0.5550,0.6050
3.4342,2.0341,0.5550,0.6050
3.3340,2.1439,0.5300,0.5800
3.2393,2.2543,0.5050,0.6300
3.1504,2.3656,0.5050,0.6300
3.0667,2.4782,0.5050,0.6300
2.9870,2.5923,0.5300,0.6300
2.9105,2.7083,0.5550,0.6050
2.8362,2.8265,0.5800,0.5550
2.7632,2.9473,0.5300,0.5800
2.6905,3.0708,0.5550,0.5550
2.6173,3.1975,0.5550,0.5300
2.5425,3.3276,0.5550,0.5550
2.4652,3.4615,0.5800,0.5300
2.3845,3.5995,0.5800,0.5050
2.2997,3.7401,0.6300,0.5300
2.2102,3.8798,0.6300,0.5300
2.1156,4.0147,0.6300,2.3800
2.0154,4.1412,0.6800,2.3800
1.9092,4.2553,0.7800,2.4550
1.7965,4.3533,1.0050,2.6550
1.6768,4.4314,1.0300,2.8800
1.5497,4.4859,1.1050,2.8800
1.4166,4.5137,1.0550,2.8800
1.2840,4.5140,1.1050,1.6550
1.1590,4.4862,1.2550,1.1050
1.0484,4.4322,1.0300,0.9300
0.9588,4.3544,0.6800,2.8800
0.8933,4.2559,0.4800,2.8300
0.8484,4.1401,0.4050,2.3550
0.8199,4.0104,0.5550,2.2300
0.8038,3.8704,0.5800,2.2050
0.7961,3.7235,0.5800,2.2050
