x_map,y_map,v_target,kappa,s
0.6944,-8.9531,5.5316,-0.0007,13.0447
0.6938,-9.0620,5.4881,-0.0006,13.1535
0.6931,-9.1708,5.4443,-0.0004,13.2624
0.6925,-9.2797,5.4002,-0.0003,13.3712
0.6918,-9.3885,5.3556,-0.0001,13.4801
0.6912,-9.4974,5.3107,-0.0003,13.5889
0.6905,-9.6062,5.2655,-0.0005,13.6978
0.6899,-9.7151,5.2198,-0.0000,13.8066
0.6892,-9.8239,5.1737,0.0004,13.9155
0.6886,-9.9328,5.1272,0.0005,14.0243
0.6879,-10.0416,5.0803,0.0005,14.1331
0.6872,-10.1504,5.0329,0.0006,14.2420
0.6866,-10.2593,4.9851,0.0011,14.3508
0.6860,-10.3681,4.9369,0.0016,14.4597
0.6854,-10.4770,4.8881,0.0015,14.5686
0.6848,-10.5858,4.8389,0.0014,14.6775
0.6842,-10.6947,4.7891,0.0017,14.7863
0.6837,-10.8035,4.7389,0.0021,14.8952
0.6832,-10.9124,4.6880,0.0024,15.0040
0.6826,-11.0212,4.6367,0.0028,15.1129
0.6822,-11.1301,4.5847,0.0033,15.2217
0.6817,-11.2389,4.5322,0.0038,15.3306
0.6814,-11.3478,4.4791,0.0044,15.4394
0.6810,-11.4566,4.4253,0.0048,15.5482
0.6807,-11.5654,4.3709,0.0052,15.6571
0.6805,-11.6743,4.3157,0.0064,15.7659
0.6804,-11.7831,4.2599,0.0078,15.8747
0.6803,-11.8920,4.2033,0.0090,15.9835
0.6803,-12.0008,4.1459,0.0104,16.0925
0.6804,-12.1097,4.0877,0.0121,16.2013
0.6807,-12.2185,4.0287,0.0146,16.3102
0.6812,-12.3274,3.9688,0.0175,16.4190
0.6818,-12.4362,3.9081,0.0204,16.5279
0.6827,-12.5451,3.8463,0.0239,16.6367
0.6838,-12.6539,3.7835,0.0284,16.7456
0.6852,-12.7628,3.7197,0.0339,16.8544
0.6870,-12.8716,3.6547,0.0408,16.9632
0.6893,-12.9804,3.5886,0.0484,17.0721
0.6921,-13.0893,3.5212,0.0570,17.1810
0.6955,-13.1981,3.4525,0.0674,17.2900
0.6997,-13.3070,3.3824,0.0801,17.3988
0.7049,-13.4157,3.3108,0.0956,17.5079
0.7110,-13.5246,3.2375,0.1137,17.6169
0.7184,-13.6334,3.1626,0.1330,17.7262
0.7272,-13.7423,3.0856,0.1542,17.8357
0.7380,-13.8513,3.0065,0.1801,17.9455
0.7509,-13.9603,2.9251,0.2142,18.0555
0.7663,-14.0692,2.8412,0.2578,18.1656
0.7843,-14.1779,2.7546,0.3105,18.2761
0.8055,-14.2863,2.6649,0.3716,18.3864
0.8307,-14.3937,2.5722,0.4417,18.4958
0.8608,-14.4989,2.4768,0.5264,18.6041
0.8965,-14.6011,2.3788,0.6314,18.7102
0.9380,-14.6988,2.2785,0.7518,18.8139
0.9854,-14.7910,2.1760,0.8802,18.9134
1.0380,-14.8754,2.0730,1.0147,19.0074
1.0955,-14.9499,1.9707,1.1708,19.0958
1.1569,-15.0134,1.8695,1.3639,19.1778
