x_map,y_map,v_target,kappa,s
-0.1733,-5.5411,5.6779,0.151198,9.6426
-0.1899,-5.6177,5.6210,0.157260,9.7210
-0.2074,-5.6942,5.5635,0.172488,9.7994
-0.2259,-5.7703,5.5055,0.194840,9.8778
-0.2456,-5.8462,5.4468,0.196096,9.9562
-0.2665,-5.9218,5.3874,0.197432,10.0346
-0.2885,-5.9970,5.3274,0.216287,10.1130
-0.3119,-6.0719,5.2668,0.227591,10.1914
-0.3365,-6.1463,5.2054,0.235202,10.2698
-0.3625,-6.2202,5.1433,0.236770,10.3482
-0.3899,-6.2937,5.0804,0.262361,10.4266
-0.4188,-6.3666,5.0167,0.261942,10.5049
-0.4491,-6.4388,4.9522,0.275633,10.5833
-0.4811,-6.5104,4.8869,0.298161,10.6617
-0.5146,-6.5813,4.8207,0.295970,10.7401
-0.5499,-6.6513,4.7535,0.326434,10.8185
-0.5869,-6.7204,4.6854,0.352914,10.8969
-0.6258,-6.7885,4.6163,0.363518,10.9753
-0.6666,-6.8554,4.5462,0.382096,11.0537
-0.7094,-6.9211,4.4749,0.426276,11.1321
-0.7544,-6.9853,4.4025,0.473673,11.2105
-0.8017,-7.0478,4.3289,0.469100,11.2889
-0.8513,-7.1085,4.2540,0.523624,11.3673
-0.9034,-7.1671,4.1777,0.546503,11.4457
-0.9579,-7.2234,4.1001,0.589518,11.5241
-1.0149,-7.2772,4.0209,0.604859,11.6025
-1.0745,-7.3282,3.9402,0.632172,11.6809
-1.1365,-7.3762,3.8577,0.671949,11.7593
-1.2009,-7.4208,3.8550,0.672901,11.8377
-1.2676,-7.4620,3.7770,0.700985,11.9161
-1.3364,-7.4994,3.6985,0.731060,11.9945
-1.4073,-7.5329,3.7224,0.721714,12.0729
-1.4800,-7.5623,3.6621,0.745646,12.1512
-1.5542,-7.5874,3.6544,0.748785,12.2296
-1.6298,-7.6081,3.6845,0.736628,12.3080
-1.7065,-7.6244,3.6693,0.742746,12.3864
-1.7839,-7.6362,3.6429,0.753558,12.4648
-1.8620,-7.6434,3.6591,0.746865,12.5432
-1.9403,-7.6460,3.6757,0.740153,12.6216
-2.0186,-7.6441,3.6450,0.752662,12.7000
-2.0967,-7.6376,3.6335,0.757432,12.7784
-2.1743,-7.6265,3.6568,0.747822,12.8568
-2.2511,-7.6108,3.6447,0.752799,12.9352
