x_map,y_map,v_target,kappa,s
0.7946,-9.2797,5.8046,0.000081,13.3881
0.7946,-9.3885,5.7576,0.000000,13.4969
0.7946,-9.4974,5.7101,0.000000,13.6058
0.7946,-9.6062,5.6623,0.000000,13.7146
0.7946,-9.7151,5.6140,0.000000,13.8234
0.7946,-9.8239,5.5653,0.000000,13.9323
0.7946,-9.9328,5.5162,0.000000,14.0411
0.7945,-10.0416,5.4666,0.000000,14.1500
0.7945,-10.1504,5.4166,0.000000,14.2588
0.7945,-10.2593,5.3662,0.000000,14.3677
0.7945,-10.3681,5.3152,0.000000,14.4765
0.7945,-10.4770,5.2638,0.000000,14.5854
0.7945,-10.5858,5.2118,0.000000,14.6942
0.7945,-10.6947,5.1593,0.000000,14.8031
0.7945,-10.8035,5.1063,0.000289,14.9119
0.7945,-10.9124,5.0528,0.000262,15.0208
0.7945,-11.0212,4.9986,0.000265,15.1296
0.7945,-11.1301,4.9439,0.000286,15.2384
0.7945,-11.2389,4.8885,0.000000,15.3473
0.7945,-11.3478,4.8325,0.000000,15.4561
0.7945,-11.4566,4.7759,0.000000,15.5650
0.7945,-11.5654,4.7186,0.000000,15.6738
0.7945,-11.6743,4.6606,0.000000,15.7827
0.7945,-11.7831,4.6018,0.000000,15.8915
0.7945,-11.8920,4.5423,0.000000,16.0004
0.7944,-12.0008,4.4820,0.000000,16.1092
0.7944,-12.1097,4.4208,0.000000,16.2181
0.7944,-12.2185,4.3589,0.000000,16.3269
0.7944,-12.3274,4.2960,0.000000,16.4358
0.7944,-12.4362,4.2322,0.000000,16.5446
0.7944,-12.5451,4.1674,0.000000,16.6534
0.7944,-12.6539,4.1015,0.000084,16.7623
0.7944,-12.7628,4.0347,0.000391,16.8711
0.7944,-12.8716,3.9666,0.000535,16.9800
0.7944,-12.9804,3.8974,0.000613,17.0888
0.7944,-13.0893,3.8270,0.001438,17.1977
0.7943,-13.1981,3.7552,0.002566,17.3065
0.7943,-13.3070,3.6820,0.004920,17.4154
0.7942,-13.4158,3.6074,0.005394,17.5242
0.7940,-13.5247,3.5311,0.002630,17.6331
0.7938,-13.6335,3.4532,0.004587,17.7419
0.7936,-13.7424,3.3735,0.014230,17.8508
0.7936,-13.8512,3.2918,0.027049,17.9596
0.7939,-13.9601,3.2081,0.041209,18.0684
0.7948,-14.0689,3.1221,0.058344,18.1773
0.7963,-14.1777,3.0337,0.105432,18.2861
0.7990,-14.2865,2.9427,0.200456,18.3950
0.8041,-14.3953,2.8487,0.300719,18.5038
0.8128,-14.5038,2.7515,0.401148,18.6127
0.8262,-14.6118,2.6508,0.505367,18.7215
0.8456,-14.7188,2.5460,0.618619,18.8304
0.8721,-14.8244,2.4368,0.743591,18.9392
0.9070,-14.9274,2.3225,0.925886,19.0481
0.9521,-15.0264,2.2022,1.134112,19.1569
1.0090,-15.1191,2.0834,1.267108,19.2658
1.0781,-15.2030,1.9547,1.439494,19.3746
1.1593,-15.2750,1.8594,1.590797,19.4834
1.2518,-15.3320,1.7185,1.862462,19.5923
1.3538,-15.3692,1.7361,1.824802,19.7011
1.4611,-15.3856,1.8636,1.583664,19.8100
1.5697,-15.3833,1.9595,1.432483,19.9188
1.6766,-15.3643,2.0756,1.276609,20.0277
