x_map,y_map,v_target,kappa,s
0.8483,4.1102,2.0565,1.3005,0.0000
0.7914,4.0124,2.2341,0.9976,0.1088
0.7439,3.9056,2.3985,0.8605,0.2177
0.7068,3.7960,2.5524,0.7357,0.3265
0.6790,3.6847,2.6976,0.6215,0.4354
0.6589,3.5727,2.8353,0.5177,0.5442
0.6452,3.4607,2.9666,0.4213,0.6531
0.6367,3.3489,3.0923,0.3329,0.7619
0.6324,3.2375,3.2132,0.2612,0.8708
0.6312,3.1267,3.3296,0.1973,0.9796
0.6324,3.0164,3.4421,0.1449,1.0885
0.6353,2.9065,3.5511,0.1022,1.1973
0.6395,2.7970,3.6568,0.0702,1.3062
0.6444,2.6878,3.7595,0.0471,1.4150
0.6499,2.5786,3.8595,0.0297,1.5238
0.6557,2.4699,3.9570,0.0163,1.6327
0.6617,2.3611,4.0521,0.0055,1.7415
0.6678,2.2523,4.1451,0.0045,1.8504
0.6739,2.1437,4.2360,0.0127,1.9592
0.6798,2.0352,4.3250,0.0194,2.0681
0.6854,1.9267,4.4122,0.0255,2.1769
0.6908,1.8182,4.4977,0.0303,2.2858
0.6958,1.7098,4.5816,0.0323,2.3946
0.7004,1.6013,4.6640,0.0339,2.5035
0.7046,1.4929,4.7450,0.0338,2.6123
0.7083,1.3844,4.8246,0.0346,2.7212
0.7117,1.2758,4.9030,0.0332,2.8300
0.7147,1.1673,4.9801,0.0331,2.9388
0.7174,1.0588,5.0560,0.0322,3.0477
0.7196,0.9503,5.1308,0.0311,3.1565
0.7215,0.8417,5.2045,0.0296,3.2654
0.7230,0.7331,5.2772,0.0287,3.3742
0.7242,0.6246,5.3489,0.0264,3.4831
0.7250,0.5159,5.4196,0.0248,3.5919
0.7256,0.4073,5.4895,0.0228,3.7008
0.7259,0.2986,5.5585,0.0202,3.8096
0.7260,0.1899,5.6266,0.0177,3.9185
0.7258,0.0812,5.6939,0.0154,4.0273
0.7255,-0.0275,5.7604,0.0130,4.1361
0.7250,-0.1363,5.8262,0.0110,4.2450
0.7244,-0.2450,5.8912,0.0086,4.3538
0.7237,-0.3537,5.9555,0.0067,4.4627
0.7229,-0.4626,6.0191,0.0044,4.5715
0.7221,-0.5714,6.0821,0.0025,4.6804
0.7212,-0.6802,6.1444,0.0013,4.7892
0.7203,-0.7890,6.2061,0.0001,4.8981
0.7194,-0.8980,6.2672,0.0015,5.0069
0.7186,-1.0068,6.3277,0.0024,5.1158
0.7177,-1.1156,6.3876,0.0034,5.2246
0.7169,-1.2245,6.4470,0.0042,5.3335
0.7162,-1.3334,6.5058,0.0045,5.4423
0.7155,-1.4423,6.5641,0.0050,5.5511
0.7148,-1.5512,6.6219,0.0054,5.6600
0.7143,-1.6601,6.6791,0.0057,5.7688
0.7138,-1.7689,6.7359,0.0055,5.8777
0.7133,-1.8779,6.7923,0.0058,5.9865
0.7129,-1.9867,6.8481,0.0054,6.0954
0.7126,-2.0956,6.9035,0.0052,6.2042
0.7124,-2.2046,6.9585,0.0047,6.3131
0.7122,-2.3134,7.0130,0.0047,6.4219
0.7121,-2.4223,7.0671,0.0046,6.5308
0.7120,-2.5311,7.1208,0.0037,6.6396
0.7119,-2.6401,7.1741,0.0041,6.7485
0.7120,-2.7489,7.2270,0.0029,6.8573
0.7120,-2.8578,7.2796,0.0027,6.9661
0.7121,-2.9667,7.3317,0.0025,7.0750
0.7122,-3.0756,7.3835,0.0021,7.1838
0.7123,-3.1844,7.4349,0.0015,7.2927
0.7125,-3.2932,7.4860,0.0009,7.4015
0.7126,-3.4021,7.5367,0.0007,7.5104
0.7128,-3.5109,7.5871,0.0000,7.6192
0.7130,-3.6198,7.6371,0.0000,7.7281
0.7131,-3.7286,7.6868,0.0000,7.8369
0.7133,-3.8375,7.6592,0.0003,7.9458
0.7135,-3.9463,7.6250,0.0008,8.0546
